Bin,Proportion,Sample,Treatment,TimePoint
10.25,0.017050874,597,H,1
10.75,0.008107016,597,H,1
11.25,0.008190395,597,H,1
11.75,0.003128635,597,H,1
12.25,0.00115692,597,H,1
12.75,0,597,H,1
13.25,0,597,H,1
13.75,0,597,H,1
14.25,0,597,H,1
14.75,0,597,H,1
15.25,0,597,H,1
0.25,0,598,H,1
0.75,0,598,H,1
1.25,0.039359382,598,H,1
1.75,0.014391466,598,H,1
2.25,0.160371982,598,H,1
2.75,0.058289493,598,H,1
3.25,0.161588445,598,H,1
3.75,0.065443534,598,H,1
4.25,0.081084619,598,H,1
4.75,0.029993832,598,H,1
5.25,0.06944544,598,H,1
5.75,0.032099168,598,H,1
6.25,0.048798561,598,H,1
6.75,0.022945126,598,H,1
7.25,0.049744293,598,H,1
7.75,0.028447338,598,H,1
8.25,0.034342918,598,H,1
8.75,0.023031102,598,H,1
9.25,0.030194061,598,H,1
9.75,0.011076527,598,H,1
10.25,0.015451222,598,H,1
10.75,0.006726937,598,H,1
11.25,0.008397029,598,H,1
11.75,0.003833034,598,H,1
12.25,0.002475831,598,H,1
12.75,0.001300176,598,H,1
13.25,0.001168483,598,H,1
13.75,0,598,H,1
14.25,0,598,H,1
14.75,0,598,H,1
15.25,0,598,H,1
0.25,0,599,H,1
0.75,0,599,H,1
1.25,0.035368619,599,H,1
1.75,0.018335235,599,H,1
2.25,0.179556991,599,H,1
2.75,0.058623487,599,H,1
3.25,0.175293549,599,H,1
3.75,0.075290597,599,H,1
4.25,0.095538724,599,H,1
4.75,0.03768806,599,H,1
5.25,0.086646251,599,H,1
5.75,0.042135418,599,H,1
6.25,0.062956847,599,H,1
6.75,0.026661038,599,H,1
7.25,0.048896366,599,H,1
7.75,0.021710394,599,H,1
8.25,0.017512094,599,H,1
8.75,0.006865593,599,H,1
9.25,0.005759654,599,H,1
9.75,0.002037236,599,H,1
10.25,0.001408047,599,H,1
10.75,0.000711384,599,H,1
11.25,0.00072138,599,H,1
11.75,0.000157893,599,H,1
12.25,0.000125145,599,H,1
12.75,0,599,H,1
13.25,0,599,H,1
13.75,0,599,H,1
14.25,0,599,H,1
14.75,0,599,H,1
15.25,0,599,H,1
0.25,0,605,H,1
0.75,0,605,H,1
1.25,0.056139965,605,H,1
1.75,0.032031158,605,H,1
2.25,0.277984524,605,H,1
2.75,0.091294728,605,H,1
3.25,0.226452663,605,H,1
3.75,0.081283049,605,H,1
4.25,0.076753996,605,H,1
4.75,0.020839601,605,H,1
5.25,0.044892705,605,H,1
5.75,0.019690793,605,H,1
6.25,0.025537603,605,H,1
6.75,0.010059679,605,H,1
7.25,0.017147952,605,H,1
7.75,0.007190745,605,H,1
8.25,0.006550692,605,H,1
8.75,0.002100101,605,H,1
9.25,0.002367348,605,H,1
9.75,0.000372634,605,H,1
10.25,0.000896189,605,H,1
10.75,0.000413876,605,H,1
11.25,0,605,H,1
11.75,0,605,H,1
12.25,0,605,H,1
12.75,0,605,H,1
13.25,0,605,H,1
13.75,0,605,H,1
14.25,0,605,H,1
14.75,0,605,H,1
15.25,0,605,H,1
0.25,0,606,H,1
0.75,0,606,H,1
1.25,0.03714335,606,H,1
1.75,0.017005344,606,H,1
2.25,0.165681159,606,H,1
2.75,0.054353352,606,H,1
3.25,0.155087393,606,H,1
3.75,0.066992505,606,H,1
4.25,0.084240086,606,H,1
4.75,0.033632521,606,H,1
5.25,0.072578853,606,H,1
5.75,0.03298808,606,H,1
6.25,0.050342306,606,H,1
6.75,0.024639958,606,H,1
7.25,0.056068986,606,H,1
7.75,0.030682173,606,H,1
8.25,0.036459974,606,H,1
8.75,0.022261431,606,H,1
9.25,0.025044025,606,H,1
9.75,0.010101369,606,H,1
10.25,0.01121852,606,H,1
10.75,0.004531441,606,H,1
